bug_id,title,description,category,severity,root_cause,suggested_fix,created_at
65,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,High,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
66,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,High,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
67,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Medium,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
68,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Medium,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
69,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Low,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
70,Mobile navbar overlaps content on iOS Safari,Fixed navbar covers the first 60px of page content on iPhone.,UI/UX,Medium,safe-area-inset-top not applied to fixed header,Add padding-top: env(safe-area-inset-top) to the header CSS.,2024-01-01 00:00:00
71,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,Low,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
72,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,High,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
73,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,High,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
74,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,Critical,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
75,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,High,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
76,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,Critical,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
77,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,Medium,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
78,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,Medium,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
79,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,High,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
80,API returns 500 on empty request body,POST /api/items crashes when body is empty instead of returning 400.,API,High,Missing null check before json.loads(request.body),Validate content-length and return 400 with clear error message.,2024-01-01 00:00:00
81,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,High,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
82,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Critical,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
83,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Low,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
84,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,High,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
85,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Critical,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
86,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,High,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
87,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Medium,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
88,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Low,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
89,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Critical,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
90,Slow query on user dashboard,Dashboard takes 12s to load for users with >10k records.,Performance,Low,"Missing composite index on (user_id, created_at)","Add index CREATE INDEX idx_records_user_created ON records(user_id, created_at DESC).",2024-01-01 00:00:00
91,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Critical,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
92,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Medium,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
93,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Critical,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
94,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,High,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
95,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Medium,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
96,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,High,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
97,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Medium,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
98,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Medium,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
99,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Critical,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
100,File upload accepts arbitrary MIME types,Users can upload .exe files disguised as .jpg.,Security,Low,MIME type trusted from Content-Type header only,Verify file magic bytes server-side and whitelist allowed types.,2024-01-01 00:00:00
101,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,High,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
102,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Medium,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
103,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,High,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
104,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Critical,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
105,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Critical,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
106,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Critical,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
107,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Critical,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
108,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Low,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
109,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Low,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
110,Notification emails sent twice,Users receive duplicate order confirmation emails.,Notification,Medium,Celery task retried on soft timeout without idempotency key,Add idempotency key check before sending and set acks_late=False.,2024-01-01 00:00:00
111,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Low,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
112,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,High,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
113,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Low,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
114,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Medium,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
115,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Low,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
116,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,High,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
117,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Critical,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
118,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Medium,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
119,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Critical,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
120,Websocket disconnects after 60 seconds,Real-time chat drops connection every minute.,Networking,Medium,Reverse proxy idle timeout set to 60s,Increase nginx proxy_read_timeout to 3600s and enable ws heartbeat.,2024-01-01 00:00:00
121,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,Critical,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
122,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,High,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
123,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,High,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
124,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,Low,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
125,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,Critical,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
126,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,Critical,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
127,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,Critical,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
128,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,High,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
129,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,High,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
130,Docker container OOM killed in production,Container restarts every few hours with OOMKilled status.,Deployment,Low,JVM heap size not constrained to container memory limit,Set -Xmx to 75% of container memory limit and enable UseContainerSupport.,2024-01-01 00:00:00
131,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Critical,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
132,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Medium,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
133,CSV import corrupts unicode characters,Non-ASCII names appear as garbled text after import.,File I/O,Medium,File opened with default cp1252 encoding on Windows,Open file with encoding='utf-8' explicitly.,2024-01-01 00:00:00
